item_id,min_price,median,quantity
192658,183,183,3701
5478,125,125,118
154121,368,699,378
118901,89,95,45
153700,322,500,1313
194576,5000,8500,40
30507,2000002,2000002,1
192554,298,579,86
194579,1400,1490,36
29570,399,449,2
178216,3039,3039,107
193252,49,83,112639
18225,399,440,9
178228,4500,4500,116
178226,1800,1800,89
43464,143,600,85
39001,1202,1203,35
52773,1079,7440,14
52766,2000,2000,18
199959,500,500,44
52749,750,800,28
52750,400,400,22
38861,49,50,154
27499,42,110,39
159786,15267,16469,77
38793,45,57,116
39203,69,157,9
38825,15,15,187
39201,4548,6929,27
201318,500,510,187
38817,20,25,233
38914,28,100,132
206967,2600,2600,75
168489,8700,8700,371
33457,3,3,306
201315,500,500,279
38945,99,200,30
111663,4,399,1994
151257,1800,2994,2155
45883,9600,9699,26
38938,50,175,233
159785,12295,12895,119
114008,392,393,17
199967,1700,3339,199
39357,139,139,6
114004,500,4800094,82
168959,12984,12984,47
118007,15,480025,1556
33459,3,3,52
39351,5931908,5931908,6
194810,1100,1444,598
194804,3800,3900,175
194802,5000,6000,207
52757,547,548,34
44458,433,446,50
4422,34,99,63
192619,64,64,92
27498,193,819,147
10308,1098,1236,44
38789,371,371,127
27503,200,1000,36
4426,19,82,93
104105,300,6136,311
194864,22058,22060,1862
4419,14,68,72
27501,49,49,18
38830,62,63,89
38797,240,285,97
8836,79000,450039,1608
194009,100,3500,5051
8152,9900,4999999,5
172357,25,445200,184
175960,100,100,2
88532,545,550,49
182733,165,165,37
168662,1080,1082,6234
194827,99800,99898,83
43116,1999,1999,1042
176393,2422,2422,1
192644,163,163,308
173877,54250,54250,1
193957,99,125,989
176858,224,224,1
197763,590,625,6570
39342,849,875,17461
176391,396,396,11
74656,50,74,1024
176088,1863,1863,1
172043,4889,4992,2124
76575,15500,16000,13
169299,3900,5365,232
204996,199000,199000,1336
199971,2999,4000,95
200566,824,824,42
76572,9000,9000,13
198491,50,100,718
39983,100,200,32
38901,3386,3388,54
37092,300,300,70
198535,1000,1000,36
29448,489,489,23
59596,604,605,33
192657,775,799,242
58256,7,7,84
200569,597,1250,82
114017,4,4,47
200572,529,529,68
14530,20,425,378
198199,2375,2385,1806
194577,6831,6900,279
194015,3705,3920,1817
111673,25,399,1492
128499,645,17097,316
152631,17,89,4065
152495,69,99,357
192685,21999,21999,18
104316,16932,18880,3372
22829,62,1000000,1028
33081,3994,3994,24
12207,2,13,1764
31903,284,300,31
191320,15000,16399,3951
191375,531,19800,482
198303,200000,209900,21
191369,9969,9970,50
198305,300,300,41
111445,14,25,438
198299,198,200,40
198257,121,122,72
198304,100,101,6
154124,425,4200,276
171840,9,83,17626
205015,120000,199999,18
194822,80,100,10604
204828,500,500,1231
197785,112,155,10500
38928,62,65,58
199052,3900,285095,192
132515,243,250,69
6041,15000,15000,19
132509,8303,8308,79
192902,1260,2688,832
190396,58,65,640839
90555,66302,66973,36
191461,28,30,2880135
191462,51,58,719109
30457,80,102,12
4479,200,2500142,4
30458,101,267,22
168498,3900,4500,463
200032,16048,16049,2004
152561,33,220,194
23112,99,500,5385
194821,479,498,239
132510,224,224,27
194817,92,191,265
76090,50,5000,210
198308,275,275,68
193369,200,231,136270
74252,74,79,1697
28399,3,3,383
198224,868,884,320
200582,1588,2630,1508
82392,10,10,92
172063,464,471,6399
39349,9898901,9898901,5
20871,70,70,17
2683,4,4,71
20873,63,63,29
114015,16,2522,365
199055,480,480,14
20870,79,79,15
20868,503,704,51
194683,250,250,2516
199060,49900,550100,447
12811,22560,24994,813
171828,149,190,21242
199053,100,100,28
3858,300,585,29977
200106,258,258,25
173057,81,85,32670
74849,300,2500,17970
81408,275,276,50
194787,1400,1750,437
194788,1125,1125,183
194789,1375,1534,432
210245,1517,2920,225
77589,99,100,319
194814,1500,2700,397
197792,2159,2400,16131
194816,596,596,154
118,1,22,982
74850,300,2500,8404
200021,8088,19986,2332
200033,10144,12799,751
197757,136,136,21459
38949,10,45,101
139358,44299,100000,163
8154,8,17200,1469
15417,173,245,2406
198294,1399,1499,293
143588,48700,50000,363
197778,95,95,7978
4341,2,17000,6589
38466,1100,1200,85
13758,60,136,2372
204826,485,500,283
18255,800,883,274
33461,5,5,51
76654,495,593,36
198241,485,600,220
76657,522,522,15
186522,5533,50000,115
33460,3,3,67
12809,2520,2550,1791
35954,4,2500001,10
137188,43800,100000,167
41478,11000,11000,4
76134,133,138,649
62791,33,1250,2657
198211,1100,1100,356
